Datum;DAX
07.2008;145070.18918616368
08.2008;143788.20105227808
09.2008;130550.09515280424
10.2008;111675.13713198254
11.2008;104543.60013433338
12.2008;107695.06324862869
01.2009;97130.86309190642
02.2009;86057.09168252547
03.2009;91453.263181462
04.2009;106782.7157729766
05.2009;110619.5007276391
06.2009;107660.13657226016
07.2009;119380.723161312
08.2009;122346.58009627226
09.2009;127060.56196126722
10.2009;121234.97145415875
11.2009;125958.80443300123
12.2009;133380.27538340984
01.2010;125574.6109929475
02.2010;125343.33370648159
03.2010;137771.18549199597
04.2010;137371.5437143177
05.2010;133534.7587596552
06.2010;133561.4015448338
07.2010;137646.25545729318
08.2010;132659.1290719803
09.2010;139460.87540579875
10.2010;147797.38049927237
11.2010;149747.90104108362
12.2010;154801.0746669652
01.2011;158456.95734915484
02.2011;162819.2096720027
03.2011;157647.15101309752
04.2011;168240.45673346022
05.2011;163297.66036046122
06.2011;165145.8636516288
07.2011;160276.9506324863
08.2011;129516.39986566664
09.2011;123184.14866226354
10.2011;137497.81708272698
11.2011;136322.4000895556
12.2011;132057.53946042762
01.2012;144607.85850218293
02.2012;153500.05597223778
03.2012;155531.84820329119
04.2012;151375.57371543715
05.2012;140252.54673681853
06.2012;143653.41990372777
07.2012;151623.418784283
08.2012;156068.28613007948
09.2012;161561.62543378485
10.2012;162557.48348818987
11.2012;165800.96272248964
12.2012;170433.00123138924
01.2013;174097.16780476883
02.2013;173328.10925780813
03.2013;174528.37792454942
04.2013;177179.22310533977
05.2013;186921.3030336953
06.2013;178198.14172170605
07.2013;185289.8242471734
08.2013;181420.5753946043
09.2013;192419.12011642227
10.2013;202259.48729430203
11.2013;210574.27515952088
12.2013;213862.30829508565
01.2014;208361.8045449457
02.2014;216994.9624986007
03.2014;213946.26665174073
04.2014;215005.70916825256
05.2014;222618.82906078585
06.2014;220151.57281988134
07.2014;210623.0829508564
08.2014;212026.64278517856
09.2014;212119.10892197472
10.2014;208818.31411619842
11.2014;223460.2037389455
12.2014;219535.43042650845
01.2015;239434.0087316691
02.2015;255270.5697973805
03.2015;267909.3249748125
04.2015;256450.91010858616
05.2015;255542.8187618941
06.2015;245045.78529049593
07.2015;253196.01477667078
08.2015;229698.86936079705
09.2015;216286.57785738274
10.2015;242922.6463674018
11.2015;254835.55356543156
12.2015;240524.1240344789
01.2016;219368.85704690474
02.2016;212591.51460875408
03.2016;223116.75808798836
04.2016;224761.446322624
05.2016;229771.40938094707
06.2016;216726.51964625547
07.2016;231445.2031792231
08.2016;237158.62532184037
09.2016;235330.12425836787
10.2016;238777.79021605285
11.2016;238224.56061793352
12.2016;257048.24806895782
01.2017;258262.84562856823
02.2017;264959.36415537895
03.2017;275671.5549087653
04.2017;278473.30124258366
05.2017;282437.2551214598
06.2017;275945.81887383864
07.2017;271314.22814284114
08.2017;269916.9371991492
09.2017;287224.00089555583
10.2017;296195.4550542931
11.2017;291592.52210903395
12.2017;289211.6870032464
01.2018;295297.8842494123
02.2018;278424.94122915034
03.2018;270832.41912011645
04.2018;282371.2078808911
05.2018;282209.56005821115
06.2018;275517.74319937313
07.2018;286700.99630583235
08.2018;276817.64244934515
09.2018;274190.7533863204
10.2018;256297.10063808353
11.2018;252037.16556587935
12.2018;236403.44565095715
01.2019;250153.36393149
02.2019;257822.45606179337
03.2019;258055.30057091688
04.2019;276370.3123250868
05.2019;262550.99070860853
06.2019;277595.432665398
07.2019;272899.13802753837
08.2019;267307.28758535767
09.2019;278250.979514161
10.2019;288073.2116870033
11.2019;296347.92119108926
12.2019;296630.69517519313
01.2020;290651.9646255457
02.2020;266211.79894772195
03.2020;222452.47957013323
04.2020;243180.11866114408
05.2020;259416.7692824359
06.2020;275628.1204522557
07.2020;275682.5254673682
08.2020;289832.75271465356
09.2020;285698.645471846
10.2020;258736.81853800517
11.2020;297574.3871039964
12.2020;307148.3264300907
01.2021;300747.1174297549
02.2021;308659.80073883355
03.2021;336020.1500055972
04.2021;338876.3013545282
05.2021;345262.06201723946
06.2021;347722.8254785627
07.2021;348021.7172282548
08.2021;354530.16903615807
09.2021;341669.9876861077
10.2021;351254.2259039517
11.2021;338075.226687563
12.2021;355644.46434568457
01.2022;346383.07399529836
02.2022;323766.2599350722
03.2022;322730.32575842383
04.2022;315635.9565655435
05.2022;322139.25892757194
06.2022;286214.4856151349
07.2022;301892.98108138365
08.2022;287360.57091682527
09.2022;271227.13534087094
10.2022;296736.5946490541
11.2022;322333.81842606066
12.2022;311733.79603716556
01.2023;338705.25019590283
02.2023;344008.5077801411
03.2023;349912.4594201276
04.2023;356484.49569013773
05.2023;350700.100750028
06.2023;361533.6393148998
07.2023;368226.35172954225
08.2023;357037.50139930594
09.2023;344488.52569125715
10.2023;331587.14877420804
11.2023;363045.56140154484
12.2023;375050.7108474197
01.2024;378456.50733236317
02.2024;395795.1416097616
03.2024;414026.41889622755
04.2024;401481.4709504086
05.2024;414148.43837456626
06.2024;408271.5772976604
07.2024;414388.2234411732
08.2024;423305.04645695735
09.2024;432663.83073995303
10.2024;427125.0419791783
11.2024;439414.53039292514
12.2024;445743.64715101314
01.2025;486556.58793238556
02.2025;504901.60080600024
